Nombre             Versión                     Rev    Seguimiento      Editor           Notas
chromium-ffmpeg    0.1                         17     latest/stable    canonical*       -
core               16-2.48.2                   10583  latest/stable    canonical*       core
core18             20201210                    1944   latest/stable    canonical*       base
gnome-3-28-1804    3.28.0-19-g98f9e67.98f9e67  145    latest/stable    canonical*       -
gnome-3-34-1804    0+git.3556cb3               66     latest/stable/…  canonical*       -
gtk-common-themes  0.1-50-gf7627e4             1514   latest/stable/…  canonical*       -
ncspot             0.3.0                       72     latest/stable    popey            -
opera              74.0.3911.75                107    latest/stable    opera-software*  -
snap-store         3.38.0-59-g494f078          518    latest/stable/…  canonical*       -
snapd              2.48.2                      10707  latest/stable    canonical*       snapd
spelunky           1.1.3                       13     latest/stable    snapcrafters     -
spotify            1.1.46.916.g416cacf1        43     latest/stable    spotify*         -
whatsdesk          0.3.3                       20     latest/stable    zerkc            -
